source,relationship,target,source_paper_title
Bloomreach Experience Cloud,improves,customer experience,How artificial intelligence can improve digital marketing
Alli AI and Market Brew,augments,SEO,How artificial intelligence can improve digital marketing
concured,creates,content marketing,How artificial intelligence can improve digital marketing
Automizy,improves,e-mail marketing,How artificial intelligence can improve digital marketing
Cortex,augments,social media marketing,How artificial intelligence can improve digital marketing
Adobe Advertising Cloud,augments,online advertising,How artificial intelligence can improve digital marketing
Conversica and drift automation,augments,communication,How artificial intelligence can improve digital marketing
SAS VDMML and SAS VF,improves,data analysis,How artificial intelligence can improve digital marketing
marketers,leverage,customer behaviors,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
AI-powered algorithms,analyze,customers with brands,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
AI tools,create,copy,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
AI tools,design,visuals,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
AI tools,produce,video content,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
marketers,deliver,personalized content,"Ethical challenges and bias in AI marketing: Addressing bias, fairness, and inclusivity in AI-generated campaigns"
ACSS,requires,AI training,Establishing the Relationship Between Key Performance Indicators in Automated Customer Support Services and the Factors that Drive Customer Satisfaction
ACSS,improves,customer satisfaction,Establishing the Relationship Between Key Performance Indicators in Automated Customer Support Services and the Factors that Drive Customer Satisfaction
AI,augments,human,Artificial Intelligence and Machine Learning. Use Cases for Organizations
AI,reduces,effort,Artificial Intelligence and Machine Learning. Use Cases for Organizations
AI,improves,productivity,Artificial Intelligence and Machine Learning. Use Cases for Organizations
AI,automates,processes,Artificial Intelligence and Machine Learning. Use Cases for Organizations
AI,augments,customer support,Paradigm Shift in E-Commerce by Applying Cognitive Multi-Agent System with Machine Learning and Deep Learning Techniques
AI,improves,fraud detection,Paradigm Shift in E-Commerce by Applying Cognitive Multi-Agent System with Machine Learning and Deep Learning Techniques
AI,protects,customer trust,Paradigm Shift in E-Commerce by Applying Cognitive Multi-Agent System with Machine Learning and Deep Learning Techniques
AI,drives,growth,Paradigm Shift in E-Commerce by Applying Cognitive Multi-Agent System with Machine Learning and Deep Learning Techniques
AI,enables,personalized experiences,Paradigm Shift in E-Commerce by Applying Cognitive Multi-Agent System with Machine Learning and Deep Learning Techniques
AI,improves,education,Knowledge Fusion Patterns in Healthcare
Industry 4.0,augments,business interaction,Knowledge Fusion Patterns in Healthcare
Technology 4.0,handles,global issues,Knowledge Fusion Patterns in Healthcare
Automation,uses,IoT devices,Knowledge Fusion Patterns in Healthcare
Healthcare system,collects,users' database,Knowledge Fusion Patterns in Healthcare
Massive databases,have,challenges of data fusion,Knowledge Fusion Patterns in Healthcare
Patients' information,brings,complexity in time and dependency issues,Knowledge Fusion Patterns in Healthcare
Distributed cask data application framework,performs,data fusion,Knowledge Fusion Patterns in Healthcare
Sensors and IoT devices,provide,accurate and efficient multi-access,Knowledge Fusion Patterns in Healthcare
Industry 4.0,makes,fine-grained decisions,Knowledge Fusion Patterns in Healthcare
AI,analyses,customer preferences,AI Innovations in Service and Tourism Marketing
AI tools,enables,tailored recommendations,AI Innovations in Service and Tourism Marketing
AI-powered campaigns,adapts,messages and audience,AI Innovations in Service and Tourism Marketing
AI innovations,enhances,customer experience,AI Innovations in Service and Tourism Marketing
automation,improves,operational efficiency,AI Innovations in Service and Tourism Marketing
HBCUs,requires,AI-driven tools,"Cross-functional, tech-driven strategies for sustainable enrollment"
Enrollment teams,partner with,Academic Affairs,"Cross-functional, tech-driven strategies for sustainable enrollment"
Enrollment teams,partner with,Student Affairs,"Cross-functional, tech-driven strategies for sustainable enrollment"
Enrollment teams,partner with,IT,"Cross-functional, tech-driven strategies for sustainable enrollment"
Enrollment teams,partner with,Marketing,"Cross-functional, tech-driven strategies for sustainable enrollment"
Enrollment teams,partner with,Financial Aid,"Cross-functional, tech-driven strategies for sustainable enrollment"
AI,improves,decision-making accuracy,"The Impact of Artificial Intelligence on Business Decision-Making: Opportunities, Challenges, and Strategic Implications"
AI,augments,efficiencies,"The Impact of Artificial Intelligence on Business Decision-Making: Opportunities, Challenges, and Strategic Implications"
AI,requires,regulatory compliance,"The Impact of Artificial Intelligence on Business Decision-Making: Opportunities, Challenges, and Strategic Implications"
AI,enhances,decision-making,Artificial Intelligence and Business Strategy
AI,optimizes,operations,Artificial Intelligence and Business Strategy
AI,drives,competitive advantage,Artificial Intelligence and Business Strategy
predictive analytics,helps,forecast market trends,Artificial Intelligence and Business Strategy
machine learning,improves,efficiency,Artificial Intelligence and Business Strategy
automation,helps,personalize customer experiences,Artificial Intelligence and Business Strategy
AI-driven insights,enables,real-time strategic planning,Artificial Intelligence and Business Strategy
AI-driven insights,optimizes,supply chains,Artificial Intelligence and Business Strategy
AI-driven insights,improves,financial forecasting,Artificial Intelligence and Business Strategy
AI-driven insights,drives,marketing,Artificial Intelligence and Business Strategy
data privacy,threatens,effective AI integration,Artificial Intelligence and Business Strategy
ethical concerns,requires,transparency,Artificial Intelligence and Business Strategy
workforce adaptation,requires,continuous learning,Artificial Intelligence and Business Strategy
analysts,requires,domain knowledge,Practice papers Becoming a trusted data analytics adviser instead of a report writer
analysts,builds,credibility,Practice papers Becoming a trusted data analytics adviser instead of a report writer
storytelling,enables,actionable recommendations,Practice papers Becoming a trusted data analytics adviser instead of a report writer
analytics translator,bridges,technical teams and business leaders,Practice papers Becoming a trusted data analytics adviser instead of a report writer
generative AI,accelerates,automation of reporting,Practice papers Becoming a trusted data analytics adviser instead of a report writer
analysts,must embrace,"roles as translators, storytellers and advisers",Practice papers Becoming a trusted data analytics adviser instead of a report writer
AI,improves,marketing strategies,Leveraging AI and Big Data for Interactive and Narrative Marketing Strategies in the Digital Age
AI integration,bolsters,organizational success,Leveraging AI and Big Data for Interactive and Narrative Marketing Strategies in the Digital Age
AI-driven marketing practices,facilitates,operational efficiencies,Leveraging AI and Big Data for Interactive and Narrative Marketing Strategies in the Digital Age
AI,transforms,marketing strategies,The Impact of Artificial Intelligence on Digital Marketing
AI,enhances,efficiency,The Impact of Artificial Intelligence on Digital Marketing
AI,augments,engagement,The Impact of Artificial Intelligence on Digital Marketing
AI,improves,operational performance,The Impact of Artificial Intelligence on Digital Marketing
AI-powered chatbots,requires,data privacy,The Impact of Artificial Intelligence on Digital Marketing
AI-powered chatbots,threatens,human-centric marketing approaches,The Impact of Artificial Intelligence on Digital Marketing
algorithmic bias,raises,concerns,The Impact of Artificial Intelligence on Digital Marketing
AI-generated content,raises,authenticity concerns,The Impact of Artificial Intelligence on Digital Marketing
Gen-AI,augments,marketing,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
chatbots,improves,engagement,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
email marketing,increases,personalization,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
recommendation systems,augments,value,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
Gen-AI,requires,transparency,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
Gen-AI,requires,human judgment,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
automation,threatens,trust,Unveiling the Influence of Gen-AI Marketing on Customer Experience Through User-Generated Content Analysis
AI,augments,marketing,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
PCA,uses,data cleaning,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
predictive modeling,creates,campaign designs,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
feedback-driven optimization layer,improves,marketing efforts,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
AI-driven consumer segmentation,outperforms,traditional methods,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
circular economy,works with,AI,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
commercial goals,combines with,environmental goals,Smart Marketing Automation for Circular Economy Using Artificial Intelligence Technologies
AI,automates,business processes,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
AI,augments,sales management,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
AI,augments,inventory management,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
AI,augments,purchasing management,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
AI,augments,financial management,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
AI,augments,human resources,Analysis of artificial intelligence in business process automation in enterprises: a systematic review of the scientific literature; [Análisis de la inteligencia artificial en la automatización de procesos comerciales en las empresas: una revisión sistemática de la literatura científica]
CRM,augments,customer service,Role of AI- Powered CRM in Business
AI powered CRM,increases,business productivity,Role of AI- Powered CRM in Business
AI powered CRM,reduces,customer churn,Role of AI- Powered CRM in Business
CRM systems,empowers,frontline staff,Role of AI- Powered CRM in Business
Marketing automation,augments,Sales,Role of AI- Powered CRM in Business
AI,improves,decisions,Applications of Artificial Intelligence in Contemporary Sociology; [Aplicaciones de la Inteligencia Artificial en la Sociología Contemporánea]
IA,requires,regulations,Applications of Artificial Intelligence in Contemporary Sociology; [Aplicaciones de la Inteligencia Artificial en la Sociología Contemporánea]
education,promotes,responsible use,Applications of Artificial Intelligence in Contemporary Sociology; [Aplicaciones de la Inteligencia Artificial en la Sociología Contemporánea]
AI,augments,digital marketing,Artificial Intelligence in Digital Marketing Strategies in the UAE: The Mediating Role of Predictive Analytics in Enhancing Customer Conversion
AI,requires,predictive analytics,Artificial Intelligence in Digital Marketing Strategies in the UAE: The Mediating Role of Predictive Analytics in Enhancing Customer Conversion
predictive analytics,improves,customer conversion rates,Artificial Intelligence in Digital Marketing Strategies in the UAE: The Mediating Role of Predictive Analytics in Enhancing Customer Conversion
AI systems,unites,loyal customers,Artificial Intelligence in Digital Marketing Strategies in the UAE: The Mediating Role of Predictive Analytics in Enhancing Customer Conversion
AI,improves,marketing campaigns,AI Driven Adaptive Scheduling for On-Demand Transportation in Smart Cities
data sources,augments,transportation network segments,AI Driven Adaptive Scheduling for On-Demand Transportation in Smart Cities
AI,enhances,digital marketing,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI,streamlines,processes,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI,automates,repetitive tasks,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
predictive analytics,helps,anticipate consumer behavior,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
chatbots,improves,real-time customer engagement,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI adoption,allows,data-driven decisions,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI adoption,improves,customer retention,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI adoption,maximizes,return on investment,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
ethical AI practices,are essential for,maintaining consumer trust,"Artificial intelligence in digital marketing automation: Enhancing personalization, predictive analytics, and ethical integration"
AI,augments,marketing management,Utilising AI to Transform Marketing Management and Enhance Consumer Interaction Strategies
analytics,drives,optimization,Utilising AI to Transform Marketing Management and Enhance Consumer Interaction Strategies
machine learning,leads,technological advancements,Utilising AI to Transform Marketing Management and Enhance Consumer Interaction Strategies
AI,augments,guest services,AI in the Hospitality Industry: Revolutionizing Guest Experience
virtual assistants,enhances,guest interactions,AI in the Hospitality Industry: Revolutionizing Guest Experience
personalized recommendations,elevates,guest experience,AI in the Hospitality Industry: Revolutionizing Guest Experience
voice recognition,streamlines,communication,AI in the Hospitality Industry: Revolutionizing Guest Experience
facial recognition,enhances,security and customization,AI in the Hospitality Industry: Revolutionizing Guest Experience
AI,improves,operational efficiency,AI in the Hospitality Industry: Revolutionizing Guest Experience
robotics and automation,drives,efficiency,AI in the Hospitality Industry: Revolutionizing Guest Experience
data analytics,enables,insights and decision-making,AI in the Hospitality Industry: Revolutionizing Guest Experience
AI,ensures,guest safety and security,AI in the Hospitality Industry: Revolutionizing Guest Experience
surveillance,detects,threats,AI in the Hospitality Industry: Revolutionizing Guest Experience
fraud prevention,prevents,frauds,AI in the Hospitality Industry: Revolutionizing Guest Experience
AI,requires,workforce adaptation,AI in the Hospitality Industry: Revolutionizing Guest Experience
data privacy,concerns,security and ethics,AI in the Hospitality Industry: Revolutionizing Guest Experience
AI,integrates,IoT and smart technologies,AI in the Hospitality Industry: Revolutionizing Guest Experience
augmented reality,emerges,applications,AI in the Hospitality Industry: Revolutionizing Guest Experience
marketers,use,AI tools,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
chatbots,augment,customer engagement,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
sentiment analysis,improves,content personalization,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
automation platforms,enables,responsive communications,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
AI-driven tools,transforms,campaign management,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
organizations,leverage,AI for brand visibility,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
marketers,requires,data privacy,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
algorithmic transparency,threatens,consumer trust,Social Media Marketing in the Age of Artificial Intelligence: TikTok’s AI Algorithms Driving Customer Engagement
AI tools,augments,business models,Augmented eBusiness Intelligence Model in Machine Learning
machine learning,improves,business intelligence,Augmented eBusiness Intelligence Model in Machine Learning
AI augmentation,boosts,advanced models,Augmented eBusiness Intelligence Model in Machine Learning
combined tools,generalizes,augmentation approaches,Augmented eBusiness Intelligence Model in Machine Learning
machine learning tools,figures out,individual model,Augmented eBusiness Intelligence Model in Machine Learning
AI technology,promotes,innovation in digital marketing,Augmented eBusiness Intelligence Model in Machine Learning
automation tools,play vital roles,business analysis,Augmented eBusiness Intelligence Model in Machine Learning
IoT,augments,personalization,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
IoT,requires,proficiency,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
Automation,replaces,human interaction,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
Marketing strategies,transforms,consumer-brand relationships,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
CRM systems,integrates,IoT data,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
Omnichannel marketing,employs,customer service managers,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
AI,interplays,IoT,Enhancing marketing success in Jordanian telecom: Strategic IoT integration and brand relationship management for maximized consumer loyalty
AI,augments,decision-making,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
human-AI collaboration,diffuses,responsibility,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
AI recommendations,increases,personal responsibility,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
human-AI teams,tends to diffuse,responsibility,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
benefit-focused AI communication,poses risks,ethical standards,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
AI recommendation systems,enhances,accountability,The Bright Side of AI in Marketing Decisions: Collaboration with Algorithms Prevents Managers from Violating Ethical Norms
AI,transforms,business management,AI in Business Management
AI,alters,corporate environment,AI in Business Management
AI,boosts,decision-makers effectiveness,AI in Business Management
AI,plays a vital role in helping,industry leaders develop strategies and achieve success,AI in Business Management
AI,improves,operations,AI in Business Management
AI,enhances,employee productivity,AI in Business Management
AI,delivers greater value,organizations,AI in Business Management
AI,advances,data analysis and decision-making,AI in Business Management
AI,improves,customer experiences,AI in Business Management
AI,generates content,organizations,AI in Business Management
AI,optimizes,"IT operations, sales, marketing, cybersecurity, and other functions",AI in Business Management
AI,supports the human workforce by streamlining workflows and increasing operational efficiency through various methods,employees,AI in Business Management
AI,automates repetitive tasks,employees,AI in Business Management
AI,extracts insights from machine learning,employees,AI in Business Management
AI,rapidly analyzes large data sets,employees,AI in Business Management
AI,predicts future trends,employees,AI in Business Management
AI systems,enable business automation,enterprise and process automation,AI in Business Management
business automation,minimizes human error,employees,AI in Business Management
store managers,requires,AI techniques,"Customer Flow and Behavior Analysis Using YOLO, DeepSORT and Computational Geometry Algorithms"
marketing strategies,improves,customer flow analysis,"Customer Flow and Behavior Analysis Using YOLO, DeepSORT and Computational Geometry Algorithms"
video processing,augments,retail analytics,"Customer Flow and Behavior Analysis Using YOLO, DeepSORT and Computational Geometry Algorithms"
human,collaborates,AI,"Digital coworker: Human-AI collaboration in work environment, on the example of virtual assistants for management professions"
AI,augments,productivity,"Digital coworker: Human-AI collaboration in work environment, on the example of virtual assistants for management professions"
human,requires,virtual assistant,"Digital coworker: Human-AI collaboration in work environment, on the example of virtual assistants for management professions"
AI methods,augments,usability evaluation,An intelligent framework for website usability
IUE tool,automates,usability evaluation process,An intelligent framework for website usability
designers,requires,IUE tool,An intelligent framework for website usability
AI,augments,decision-making,Taxonomy about the Stages of Performing Automated Decision-Making Processing under GDPR in the Light of 6G Networks
new technologies,requires,data protection,Taxonomy about the Stages of Performing Automated Decision-Making Processing under GDPR in the Light of 6G Networks
AI,augments,customer experience,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
AI,improves,business operations,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
chatbots,automates,customer interaction,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
AI,requires,transparency of AI operations,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
AI,requires,reliability of outcomes generated,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
trust,relies on,security and privacy arrangements,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
firms,builds,consumer trust through ethical action,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
AI use,threatens,algorithmic bias and fairness,Trust in Artificial Intelligence Marketing: How AI-Powered Chatbots and Algorithms Influence Consumer Trust in Automated Systems
AI,enables,automation,Toward advancing theory on creativity in marketing and artificial intelligence
theories,have not explained,impact of AI on creativity in marketing,Toward advancing theory on creativity in marketing and artificial intelligence
GAI,augments,logistics systems,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
DAs,automates,resource flows,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA applications,enhances,collaboration between organizations,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA technologies,catalyzes,value chain optimization,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA implementations,require,synchronized evolution across 4Ps,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
GAI-DA solutions,embeds,core logistics functions,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
human-AI collaboration,requires,adaptive workflow redesign,Digital Agents and Generative Artificial Intelligence in Support of Logistics 5.0
AI,employs,marketing,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,augments,digital marketing,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,requires,natural language processing,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,requires,motion guidance,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,requires,expert systems,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,employs,marketing emails,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
AI,employs,automated machinery,Analysis of Artificial Intelligence Towards the Digital Marketing Revolution
companies,requires,AI,AI transforming the future of Digital Marketing
researchers,analyses,statistics,AI transforming the future of Digital Marketing
AI,augments,marketing processes,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
machine learning,contributes,data analysis,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
natural language processing,contributes,content creation,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,automates,advertising campaign management,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,personalises,customer communication,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,improves,marketing campaigns results,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,reduces,advertising costs,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,increases,customer loyalty,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,requires,data analysis,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,threatens,data privacy,The impact of artificial intelligence on marketing communications: New business opportunities and challenges
AI,drives,bot detection,T-Bot: AI-based social media bot detection model for trend-centric twitter network
T-Bot,facilitates,bot detection,T-Bot: AI-based social media bot detection model for trend-centric twitter network
CIA,performs,binary classification,T-Bot: AI-based social media bot detection model for trend-centric twitter network
machine learning models,tunes,parameters,T-Bot: AI-based social media bot detection model for trend-centric twitter network
ChatGPT,augments,marketing strategies,Strategising with generative AI: Productivity gains in social media marketing
AI,devises,strategies,Strategising with generative AI: Productivity gains in social media marketing
Generative AI,increases,productivity,Strategising with generative AI: Productivity gains in social media marketing
ChatGPT,generates,social media marketing strategies,Strategising with generative AI: Productivity gains in social media marketing
AI tools,requires,data protection,Strategising with generative AI: Productivity gains in social media marketing
AI,augments,tourism,Developing an artificial intelligence framework for online destination image photos identification
human interaction,replaces,AI photo identification framework,Developing an artificial intelligence framework for online destination image photos identification
deep learning,improves,image identification performance,Developing an artificial intelligence framework for online destination image photos identification
AI photo identification framework,enhances,tourism experiences,Developing an artificial intelligence framework for online destination image photos identification
intelligent automation framework,contributes to,big data research in tourism field,Developing an artificial intelligence framework for online destination image photos identification
innovative methodologies of online destination image analysis,advances,marketing and management of smart destinations,Developing an artificial intelligence framework for online destination image photos identification
marketing,augments,AI,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
4Ps framework,threatens,traditional marketing strategy,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
AI-driven technologies,reconfigures,core marketing principles,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
Algorithms,requires,Adaptability,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
Analytics,improves,marketing practice,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
AI,drives,hyper-personalisation,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
AI,enhances,operational scalability,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
AI,promotes,strategic coherence,The Evolution of Marketing Strategy: Redefining the Marketing Mix with Artificial Intelligence (AI) -The 8As Framework
AI,augments,human creativity,Will Artificial Intelligence Replace Human Creativity in Advertising? The Creative Directors’ Perspective
AI,boosts,efficiency,Will Artificial Intelligence Replace Human Creativity in Advertising? The Creative Directors’ Perspective
AI,generates,ideas,Will Artificial Intelligence Replace Human Creativity in Advertising? The Creative Directors’ Perspective
AI,replaces,human creativity,Will Artificial Intelligence Replace Human Creativity in Advertising? The Creative Directors’ Perspective
AI,augments,value-based digital banking,The True Value of AI to Transform Push/Pull Wealth Management Offers
hybrid models,helps,wealth management industry,The True Value of AI to Transform Push/Pull Wealth Management Offers
AI,adds value,investment automation,The True Value of AI to Transform Push/Pull Wealth Management Offers
AI,augments,back/middle office automation,The True Value of AI to Transform Push/Pull Wealth Management Offers
AI,augments,content augmentation,The True Value of AI to Transform Push/Pull Wealth Management Offers
AI,augments,conversational banking,The True Value of AI to Transform Push/Pull Wealth Management Offers
robo-advisors,integrates,human assistants,The True Value of AI to Transform Push/Pull Wealth Management Offers
robo-advisors,integrates,relationship managers,The True Value of AI to Transform Push/Pull Wealth Management Offers
Generative AI,augments,Creativity,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,improves,Innovation,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,analyses,Market Trends,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,generates,Insights,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,enhances,Creative Outputs,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,supports,Data Security,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,enables,Proactive Issue Resolution,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,provides,Real-time Insights,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,automates,Routine Tasks,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,focuses,Complex Interactions,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,improves,Customer Satisfaction,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,increases,Productivity,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,enhances,Personalization,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,raises,Expectations,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,erodes,Efficiency,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
Generative AI,exposes,Brand Reputation Damage,Let’s Get Phygital: The Bright and Dark Sides of Generative AI for Phygital Customer Experience
AI,augments,decision-making,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,improves,customer service,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,optimizes,workflow,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,requires,skill shortages,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,threatens,model failures,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,analyses,data quality issues,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
AI,enhances,efficiency,"AI Integration in Key Management Domains: Trends, Insights, Challenges Risks, and Ethical Considerations"
