source,relationship,target,source_paper_title
companies,uses,AI tools,Navigating the AI Hype: Perceptions and Opportunities in German SME Marketing Applications
educators,requires,AI literacy,MARKETING STUDENTS’ PERCEPTIONS TOWARDS ChatGPT: AN AI-ASSISTED THEMATIC ANALYSIS
students,improves,learning outcomes,MARKETING STUDENTS’ PERCEPTIONS TOWARDS ChatGPT: AN AI-ASSISTED THEMATIC ANALYSIS
ChatGPT,augments,student learning,MARKETING STUDENTS’ PERCEPTIONS TOWARDS ChatGPT: AN AI-ASSISTED THEMATIC ANALYSIS
LLMs,augments,data curation,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
LLMs,enhances,regulatory compliance,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
LLMs,improves,data quality,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
Apache Spark,deploys,Markov Chain Monte Carlo sampling,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
architecture,attains,mapping precision,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
architecture,achieves,reproducible audit trails,"LLM-Driven Big Data Management Across Digital Governance, Marketing, and Accounting: A Spark-Orchestrated Framework"
AI,transforms,marketing,Generative Artificial Intelligence Based Biomedical Applications for Pharmaceutical Industry
Generative AI,improves,drug discovery,Generative Artificial Intelligence Based Biomedical Applications for Pharmaceutical Industry
Generative AI,augments,diversity efforts,Diversity representation in advertising
data-driven decision-making,requires,AI tools,Diversity representation in advertising
Generative AI,augments,marketing,AI for marketing: Enabler? Engager? Ersatz?
AI technologies,improves,competitive advantages,AI for marketing: Enabler? Engager? Ersatz?
AI for marketing,requires,theory toolkit,AI for marketing: Enabler? Engager? Ersatz?
enabling AI,augments,marketing entities,AI for marketing: Enabler? Engager? Ersatz?
engaging AI,augments,marketing entities,AI for marketing: Enabler? Engager? Ersatz?
ersatzing AI,threatens,marketing entities,AI for marketing: Enabler? Engager? Ersatz?
marketers,requires,AI,Picture Perfect: Engaging Customers with Visual Generative AI
generative AI,augments,visual advertising,Picture Perfect: Engaging Customers with Visual Generative AI
off-the-shelf generative AI models,replaces,conventional advertising objectives,Picture Perfect: Engaging Customers with Visual Generative AI
marketers,can leverage,AI,Picture Perfect: Engaging Customers with Visual Generative AI
generative AI model,is trained on,marketing mindset metrics,Picture Perfect: Engaging Customers with Visual Generative AI
visual content,matches,conventionally produced advertising content,Picture Perfect: Engaging Customers with Visual Generative AI
generative AI,can be fine-tuned,multiple communication objectives,Picture Perfect: Engaging Customers with Visual Generative AI
computer vision,augments,body language research,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
generative AI,creates,innovative body narrative schemes,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
diffusion models,generates,body narrative schemes,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
GANs,generates,body narrative schemes,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
AI technology,transforms,body language research,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
algorithm models,verifies,data-driven intelligent creation,From Analysis to Creation: The Paradigm Reconstruction of Body Language in Advertising by Artificial Intelligence
AI agents,augments,marketing strategy,Language in the Marketplace
Generative language models,improves,marketplace language,Language in the Marketplace
AI tools,enables,marketers,Generative AI for Video Translation: Consumer Evaluation in International Markets
Generative AI,translates,videos,Generative AI for Video Translation: Consumer Evaluation in International Markets
AI translation,yields,lower perceived naturality,Generative AI for Video Translation: Consumer Evaluation in International Markets
AI translation,yields,worse language comprehension,Generative AI for Video Translation: Consumer Evaluation in International Markets
human translation,performs better than,AI translation in Study 1,Generative AI for Video Translation: Consumer Evaluation in International Markets
AI translation,performs better than,human translation in Study 2,Generative AI for Video Translation: Consumer Evaluation in International Markets
translation methods,does not affect,customer engagement intention,Generative AI for Video Translation: Consumer Evaluation in International Markets
GenAI,threatens,research integrity,Pandora's Box Reopened: Can Generative AI Restore Hope or Result in a Decline in the Quest for Academic Integrity
GenAI,enhances,research integrity,Pandora's Box Reopened: Can Generative AI Restore Hope or Result in a Decline in the Quest for Academic Integrity
GANs,improves,project outcomes,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
AI,creates,synthetic data,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,models,project scenarios,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,optimizes,performance metrics,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
occupancy increase,improves,RevPAR,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
booking rates increase,results in,extra income,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,enhances,project management decision-making,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,improves,resource allocation,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,reduces,risk management,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GAN-powered solutions,boosts,marketing tactics,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,increases,consumer engagement,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GANs,improves,operational efficiency,AI-Driven Optimization in Project Management and Marketing: A Case Study of Airbnb Using Generative Adversarial Networks; [Layihələrin idarə edilməsi və marketinqdə süni intellektə əsaslanan optimallaşdırma: generativ rəqabət şəbəkələrindən istifadə edərək Airbnb nümunəsi]
GAI,augments,productivity,Generative Artificial Intelligence: A Revolution in Organizational Strategies and Its Applications in a Competitive Environment
GAI,enhances,customer experience,Generative Artificial Intelligence: A Revolution in Organizational Strategies and Its Applications in a Competitive Environment
GAI,threatens,employment,Generative Artificial Intelligence: A Revolution in Organizational Strategies and Its Applications in a Competitive Environment
GAI,requires,balanced approach,Generative Artificial Intelligence: A Revolution in Organizational Strategies and Its Applications in a Competitive Environment
companies,adopt,GAI responsibly,Generative Artificial Intelligence: A Revolution in Organizational Strategies and Its Applications in a Competitive Environment
GenAI,offers,real-time content generation,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
GenAI,augments,predictive analytics,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
GenAI,enhances,dynamic audience engagement,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
AI-driven marketing systems,reinforces,harmful stereotypes,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
biases in training data,creates,arbitrary audience segmentation,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
biases in model architectures,leads to,culturally inappropriate messaging,"Generative AI for Inclusive Marketing: Embedding Diversity, Equity, and Cultural Competence in AI- Driven Decision Systems"
Generative AI,creates,Inclusive Systems,"4th World Conference on Information Systems for Business Management, ISBM 2025"
AI,threatens,Cybersecurity,"4th World Conference on Information Systems for Business Management, ISBM 2025"
digital marketers,requires,AI tools,AI in Search—Redefining SEO in Digital Marketing Strategy and Practices
SEO practices,augments,AI in marketing,AI in Search—Redefining SEO in Digital Marketing Strategy and Practices
customers,moves to,generative AI platforms,AI in Search—Redefining SEO in Digital Marketing Strategy and Practices
metadata,requires,music,Music Psychology and the Origins of Mood Tagging in Production Music Libraries
generative AI,augments,metadata,Music Psychology and the Origins of Mood Tagging in Production Music Libraries
marketers,requires,GAI,Adapting Global Communication and Marketing Strategies to Generative AI
communication strategies,adapts,GAI,Adapting Global Communication and Marketing Strategies to Generative AI
marketing techniques,augments,GAI,Adapting Global Communication and Marketing Strategies to Generative AI
AI,augments,advertising,Optimizing outcomes: Professional perspectives on data-driven marketing mastery
data-driven advertising,requires,consumer understandings,Optimizing outcomes: Professional perspectives on data-driven marketing mastery
generative AI,transforms,material production,Optimizing outcomes: Professional perspectives on data-driven marketing mastery
customization,improves,consumer interaction,Optimizing outcomes: Professional perspectives on data-driven marketing mastery
analytics,boosts,project efficiency,Optimizing outcomes: Professional perspectives on data-driven marketing mastery
GenAI,augments,productivity,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
GenAI,introduces,technostress,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
young professionals,exposed,GenAI tools,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
GenAI adoption,requires,AI literacy,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
GenAI,shifts,monitoring and conceptual work,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
participants,reports,techno-eustress,Technostress and generative AI in the workplace: a qualitative analysis of young professionals
GenAI,redefines,advertising,CONDITIONS FOR THE ACCEPTANCE OF ADVERTISING CONTENT GENERATED BY GENERATIVE ARTIFICIAL INTELLIGENCE
GenAI,augments,consumers,CONDITIONS FOR THE ACCEPTANCE OF ADVERTISING CONTENT GENERATED BY GENERATIVE ARTIFICIAL INTELLIGENCE
practitioners,requires,further research,CONDITIONS FOR THE ACCEPTANCE OF ADVERTISING CONTENT GENERATED BY GENERATIVE ARTIFICIAL INTELLIGENCE
designers,collaborate,generative AI,Understanding Collaboration between Professional Designers and Decision-making AI: A Case Study in the Workplace
AI system,augments,creative workflow,Understanding Collaboration between Professional Designers and Decision-making AI: A Case Study in the Workplace
decision-making AI,supports,convergence process,Understanding Collaboration between Professional Designers and Decision-making AI: A Case Study in the Workplace
designers,rely on,AI system,Understanding Collaboration between Professional Designers and Decision-making AI: A Case Study in the Workplace
designers,trust,AI system,Understanding Collaboration between Professional Designers and Decision-making AI: A Case Study in the Workplace
Generative AI,augments,Green Consumption,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Guiding Awareness,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Rewarding Behavior,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Empowering Accessibility,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Enhancing Experience,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Nudging Strategy,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,augments,Green Consumption Behaviors,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,embeds,Practices Encouraging Green Consumption,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Generational Influence,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Result Visualization,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Enabling Creativity,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Entertaining Educational,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
Generative AI,requires,Narrative Construction,Dual G.R.E.E.N circle: a mechanism and practical framework for promoting green consumption embedding generative AI
consumers,perceive,risks,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
businesses,accelerate,AI adoption,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
generative AI products,astonish,consumers,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
AI products,require,trust,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
RP,curtail,willingness to buy,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
product attitudes,influence,RP,Between Innovation and Caution: How Consumers’ Risk Perception Shapes AI Product Decisions
AI,improves,marketing capabilities,Coca-Cola's AI- Driven Customer Engagement Strategy
machine learning,augments,sentiment analysis,Coca-Cola's AI- Driven Customer Engagement Strategy
generative AI,creates,content generation,Coca-Cola's AI- Driven Customer Engagement Strategy
natural language processing,pairs with,computer vision tech,Coca-Cola's AI- Driven Customer Engagement Strategy
algorithmic bias,threatens,ethical standards,Coca-Cola's AI- Driven Customer Engagement Strategy
AI governance framework,sets standard for,ethical AI deployment,Coca-Cola's AI- Driven Customer Engagement Strategy
Athletes,rely on,AI,Augmented authenticity in athlete branding through human-AI co-production
Athletes,scale engagement,AI,Augmented authenticity in athlete branding through human-AI co-production
Athletes,personalise content,AI,Augmented authenticity in athlete branding through human-AI co-production
Generative AI,empower,Underrepresented athletes,Augmented authenticity in athlete branding through human-AI co-production
Generative AI,create risks of losing control,Narrative sovereignty,Augmented authenticity in athlete branding through human-AI co-production
Generative AI,displace athlete's identity,Athlete's identity,Augmented authenticity in athlete branding through human-AI co-production
AI,enhances,credibility,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
human,enhances,credibility,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
AI,augments,sustainability intentions,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
human,augments,sustainability intentions,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
AI,heightens,efficiency,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
AI,reduces,warmth,How Generative AI Shapes Sustainable Wine Consumption and The Role of Anthropomorphism and Trust in the Lebanese Market
AI tools,improves,video quality,Evaluating AI-Generated Video Quality: A Novel Assessment Model
AI platforms,analyzes,quality indicators,Evaluating AI-Generated Video Quality: A Novel Assessment Model
benchmarking model,adapts,changing standards of AI technology,Evaluating AI-Generated Video Quality: A Novel Assessment Model
current AI tools,enhances,realism and resolution,Evaluating AI-Generated Video Quality: A Novel Assessment Model
AI artifacts,threatens,video quality,Evaluating AI-Generated Video Quality: A Novel Assessment Model
machine learning video generation,requires,benchmarking model,Evaluating AI-Generated Video Quality: A Novel Assessment Model
research,drives,innovation,Evaluating AI-Generated Video Quality: A Novel Assessment Model
AI powered media,creates,new benchmarks,Evaluating AI-Generated Video Quality: A Novel Assessment Model
marketing,benefits from,GAI,“Enhancing Customer Engagement Through Generative AI-Driven Predictive Marketing”—A Bibliometric Analysis
scholars,haven't focused on,GAI's effects on marketing,“Enhancing Customer Engagement Through Generative AI-Driven Predictive Marketing”—A Bibliometric Analysis
researchers,conducts bibliometric and thematic analysis,"current research articles in Generative AI, marketing, management, and customer engagement",“Enhancing Customer Engagement Through Generative AI-Driven Predictive Marketing”—A Bibliometric Analysis
technological know-how,fuses with,human-centered perspective,“Enhancing Customer Engagement Through Generative AI-Driven Predictive Marketing”—A Bibliometric Analysis
AI,augments,customer engagement,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,enhances,operational efficiency,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,requires,human element,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,threatens,data security,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,requires,transparency,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,requires,intellectual property concerns,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
Generative AI models,creates,content creation,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
Generative AI models,augments,customer interaction,THE ARTIFICIAL INTELLIGENCE USAGE AND BENEFITS IN TOURISM MARKETING
AI,augments,content ideas,Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study
AI,enhances,image quality,Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study
AI,assists,scriptwriting,Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study
AI,requires,human collaboration,Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study
AI,threatens,data security,Using Generative AI in Communication Agencies: Insights from a Multiple-Case Study
GPs,view,AI,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
GPs,agree,documentation improvement,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
GPs,expect,efficiency increase,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
GPs,anticipate,patient reliance on AI,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
GPs,need,training,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
Male GPs,view,AI as beneficial,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
Female GPs,emphasise,training needs,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
Older GPs,express concern,potential inequities,General practitioners’ opinions of generative artificial intelligence in the UK: An online survey
educators,requires,GenAI literacy,Facilitating Generative AI Literacy in the Face of Evolving Technology: Interventions in Marketing Classrooms
students,decrease,confidence in GenAI accuracy,Facilitating Generative AI Literacy in the Face of Evolving Technology: Interventions in Marketing Classrooms
students,see reasons to examine,implications of GenAI,Facilitating Generative AI Literacy in the Face of Evolving Technology: Interventions in Marketing Classrooms
Tourism,uses,Generative AI,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
AI painting,enhances,City landmark images,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
AI painting,increases,Tourism intentions,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
Fantasy,mediates,Relationship between AI painting and tourism intentions,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
Disclosure of image enhancement source,diminishes,Positive effect of AI painting on tourism intentions,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
AI painting,is more effective for,Hedonic destinations,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
AI-enhanced landmark images,boosts travel intentions among,Consumers with low informedness,When city landmarks meet AI design: the impact of AI painting on the travel intentions of consumers
Generative AI,improves,Academic Performance,"2nd International Conference on Emerging Technologies and Educational Innovation, ICETEI 2025"
AI Agent,augments,Intelligent Tutoring,"2nd International Conference on Emerging Technologies and Educational Innovation, ICETEI 2025"
Machine Learning,enhances,Material Phase Classification,"2nd International Conference on Emerging Technologies and Educational Innovation, ICETEI 2025"
Artificial Intelligence,threatens,Digital Divide,"2nd International Conference on Emerging Technologies and Educational Innovation, ICETEI 2025"
Generative AI,widens,Digital Divide,"2nd International Conference on Emerging Technologies and Educational Innovation, ICETEI 2025"
Generative AI,enables,hyper-personalization,"AI and consumer behavior: Trends, technologies, and future directions from a scopus-based systematic review"
Generative AI,threatens,authenticity,"AI and consumer behavior: Trends, technologies, and future directions from a scopus-based systematic review"
ChatGPT,requires,user experience,The Influence of Generative AI UX on User Engagement: Focusing on ChatGPT in Korea
User Experience,influences,engagement,The Influence of Generative AI UX on User Engagement: Focusing on ChatGPT in Korea
Aesthetics,mediates,effects of usefulness on engagement,The Influence of Generative AI UX on User Engagement: Focusing on ChatGPT in Korea
Interactivity,mediates,effects of usefulness on engagement,The Influence of Generative AI UX on User Engagement: Focusing on ChatGPT in Korea
companies,struggle,value,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI initiatives,require,strategic frameworks,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
generative AI,embeds,workflow processes,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
prompt strategy,drives,transformation,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI adoption models,emphasizes,workflow integration,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
organizations,treats,prompt engineering as capability,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
AI,transforms,competitive advantage,From AI hype to workflow reality: a strategic framework for integrating generative AI across organizational functions
Generative AI,augments,Digital Business Management,Digital Business Management: Transforming to a Data-Driven Organization Using AI
AI Prompt Schema,creates,Structured Prompting,Digital Business Management: Transforming to a Data-Driven Organization Using AI
Authors,requires,Business Practice Experience,Digital Business Management: Transforming to a Data-Driven Organization Using AI
Generative AI,improves,Digital Business Strategies,Digital Business Management: Transforming to a Data-Driven Organization Using AI
Practitioners,requires,Knowledge of Digital Business,Digital Business Management: Transforming to a Data-Driven Organization Using AI
Students,requires,Understanding of Digital Business,Digital Business Management: Transforming to a Data-Driven Organization Using AI
GenAI,augments,artistic skill,Knowledge of How AI Art is Made Shapes Audience’s Valuations of a Technologically Augmented Live Dance Performance
people,attribute,GenAI's contributions,Knowledge of How AI Art is Made Shapes Audience’s Valuations of a Technologically Augmented Live Dance Performance
audience,enhance,interdisciplinary collaboration,Knowledge of How AI Art is Made Shapes Audience’s Valuations of a Technologically Augmented Live Dance Performance
researchers,requires,holistic solutions,4th Workshop on End-End Customer Journey Optimization
models,augments,customer journey optimization,4th Workshop on End-End Customer Journey Optimization
generative AI,improves,business objectives,4th Workshop on End-End Customer Journey Optimization
marketers,requires,prompt engineers,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
traditional tools,becomes,inadequate,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
ChatGPT,augments,content creation,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
CRM integration,boosts,customer engagement,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
prompt engineers,creates,scalable content,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
marketers,needs,AI editors,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
generative AI,threatens,data privacy,Generative AI in Marketing OpenAI's ChatGPT Enhancing Customer Conversation and Content
AI,enables,personalized experiences,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
machine learning,analyses,consumer behavior,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
natural language processing,predicts,preferences,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
recommendation systems,delivers,targeted content,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
deep learning models,provides,real-time recommendations,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
generative AI,creates,customized content,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
predictive analytics,segments,audience,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
federated learning,enhances,transparency,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
explainable AI (XAI),builds,user trust,Personalization in Digital Marketing: Enhancing Consumer Engagement Using AI
Generative AI,augments,content strategies,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
Generative AI,augments,media strategies,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
Generative AI,augments,scheduling strategies,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
intent mining tool,requires,Twitter data,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
data mining tools,analyses,content features,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
data mining tools,analyses,media type,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
Generative AI,augments,customer engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
interactivity (hashtags and mentions),increases,popularity/virality/engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
novelty (people),increases,popularity/virality/engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
consistency (brand mentioned),increases,popularity/virality/engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
vividness (having media URLs),increases,popularity/virality/engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
"timing (Mon-Fri, except Thu)",increases,popularity/virality/engagement,"E-Marketplace Strategies to Drive Popularity, Virality, and Engagement on Twitter"
GAI,augments,creativity,Generative AI and Creative Industries: A Systematic Review on Emerging Trends and Future Research Directions
GAI,transforms,creative sector,Generative AI and Creative Industries: A Systematic Review on Emerging Trends and Future Research Directions
GAI,re-engineers,value chain,Generative AI and Creative Industries: A Systematic Review on Emerging Trends and Future Research Directions
GAI,democratizes,accessibility,Generative AI and Creative Industries: A Systematic Review on Emerging Trends and Future Research Directions
GAI,necessitates,new theoretical lens,Generative AI and Creative Industries: A Systematic Review on Emerging Trends and Future Research Directions
AI models,produces,medical imagery,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
AI tools,augments,marketing efforts,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
Generative AI,misrepresents,workforce diversity,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
AI-generated content,underrepresents,women,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
AI models,requires,improved training,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
Generative AI,poses risks for,educational accuracy,Geographic prompting and content fidelity in generative Artificial Intelligence: A multi-model study of demographics and imaging equipment in AI-generated videos and images of Canadian medical radiation technologists
AI,replaces,human,I feel no empathy toward AI: the effects of AI vs human spokespersons on advertisement effectiveness
AI,creates,psychological distance,I feel no empathy toward AI: the effects of AI vs human spokespersons on advertisement effectiveness
anthropomorphic cues,diminishes,negative effect,I feel no empathy toward AI: the effects of AI vs human spokespersons on advertisement effectiveness
